run,eqs_orig_rounded,ms_processed_e
0,(367.0*sqrt_abs(pow3(v1))),46.688614752962984
1,(367.0*sqrt_abs(pow3(v1))),46.68869007797726
2,sqrt_abs(pow3((51.1*v1))),319.9659193308278
3,pow3(sqrt_abs((51.1*v1))),320.51413036012957
4,(367.0*pow3(sqrt_abs(v1))),46.68861252275236
5,pow3(sqrt_abs((-51.2*v1))),46.688606887034695
6,(367.0*sqrt_abs(pow3(v1))),46.68860707137793
7,sqrt_abs((-134000.0*pow3(v1))),46.68860795814584
8,sqrt_abs(pow3((-51.2*v1))),46.68860791327345
9,pow3(sqrt_abs((51.1*v1))),300.3861607030043
10,sqrt_abs((134000.0*pow3(v1))),46.68860710786569
