run,compl,age,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,3.0,3318.0,-0.8958944281524927,1.2318259966818588,142.53164004948695,31136.665332022923,474.0v1
1,3.0,3140.0,-0.8958944281524927,1.2699807028538665,142.82391881261478,31485.13641388795,493.0v1
2,3.0,2817.0,-0.8958944281524927,1.1881805260996126,144.45576507580532,31860.562454061164,450.45045045045043v1
3,3.0,374.0,-0.8958944281524927,1.257924685819016,142.71947554482804,31289.74461930131,487.0v1
4,3.0,4439.0,-0.8958944281524927,1.2492254614823532,142.6441127268838,31197.674329069065,483.0v1
5,3.0,2903.0,-0.8958944281524927,1.332953729468499,144.88566941062828,33578.8943620104,521.0v1
6,3.0,4379.0,-0.8958944281524927,1.2287619547296893,142.5927865557882,31143.657648668235,473.0v1
7,3.0,3805.0,-0.8958944281524927,1.2589956263553985,142.72875327966386,31303.914003876278,487.80487804878044v1
8,3.0,4408.0,-0.8958944281524927,1.2123534261815077,143.26520117328764,31291.64064074012,464.0v1
9,3.0,1319.0,-0.8958944281524927,1.218343038682938,142.97020072195107,31215.009623870377,467.2897196261682v1
10,3.0,1687.0,-0.8958944281524927,1.205180524259745,143.61848100629973,31417.0333483714,460.0v1
11,3.0,2959.0,-0.8958944281524927,1.203974021877021,143.67790367301765,31441.725068812466,459.0v1
12,3.0,2355.0,-0.8958944281524927,1.2270676116980075,142.62659913357933,31150.015218520624,471.6981132075472v1
13,3.0,1814.0,-0.8958944281524927,1.2504289663392307,142.6545388883338,31207.967792487114,483.0917874396136v1
14,3.0,3177.0,-0.8958944281524927,1.2982604372232776,143.32246333031247,32224.11853273562,505.0505050505051v1
15,3.0,4004.0,-0.8958944281524927,1.252399822806413,142.67161274358597,31226.519349193706,484.0v1
16,3.0,4038.0,-0.8958944281524927,1.2174919696829067,143.01211758035683,31224.34077593178,467.0v1
17,3.0,4335.0,-0.8958944281524927,1.2988784155625857,143.33869331495453,32244.229200032434,506.0v1
18,3.0,3409.0,-0.8958944281524927,1.157654001998631,148.03727139047174,33325.64636278314,431.0344827586207v1
19,3.0,3422.0,-0.8958944281524927,1.2635634958334108,142.768325487776,31371.32899429423,490.0v1
20,3.0,3864.0,-0.8958944281524927,1.2209044265284894,142.8440472236564,31190.03920209228,469.4835680751174v1
21,3.0,3244.0,-0.8958944281524927,1.187750462628262,144.47694656594697,31874.45229121783,450.45045045045043v1
22,3.0,4164.0,-0.8958944281524927,1.2140483484531843,143.18172284559853,31267.36355779568,465.0v1
23,3.0,2330.0,-0.8958944281524927,1.1916458950222193,144.28508869298878,31753.448142627098,452.0v1
24,3.0,4375.0,-0.8958944281524927,1.242487904762925,142.58574415966615,31154.54441100027,479.0v1
25,3.0,4581.0,-0.8958944281524927,1.2062606509898408,143.56528259441535,31395.807541438648,460.0v1
26,3.0,1275.0,-0.8958944281524927,1.3206733698945032,144.21400152578366,33046.98858653279,516.0v1
27,3.0,3592.0,-0.8958944281524927,1.1959279192429615,144.07419039573648,31632.9052529523,454.5454545454545v1
28,3.0,813.0,-0.8958944281524927,1.2223019819039582,142.7752148131402,31178.385101108786,469.4835680751174v1
29,3.0,2156.0,-0.8958944281524927,1.1976683678059017,143.98846980672133,31587.642839140073,456.0v1
30,3.0,664.0,-0.8958944281524927,1.2391008555988345,142.5564015930598,31142.15343755533,478.0v1
