run,compl,age,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,8.0,4506.0,-0.9995550611790879,0.10406509631545108,4.1969192295129763e24,1.8388077176091041e50,(6.14e-11v2*v3) / (v1^2)
1,8.0,3280.0,-0.9995550611790879,0.10358163242423207,4.3102818209697397e24,1.8227676294498672e50,(6.15e-11v2*v3) / (v1^2)
2,8.0,4135.0,-0.9995550611790879,0.10350801500310546,4.327543630562627e24,1.821784371416761e50,v2*v3*((7.84e-6 / v1)^2)
3,8.0,4389.0,-0.9995550611790879,0.10335759244515813,4.3628147051809943e24,1.8209743580857543e50,(v2*v3) / (1.6269262807163683e10(v1^2))
4,8.0,1364.0,-0.9995550611790879,0.104238059109808,4.1563629212756776e24,1.8485858695383105e50,(6.14e-11v2*v3) / (v1^2)
5,8.0,3347.0,-0.9995550611790879,0.08368619379746517,1.4230234946722589e25,5.50312939831988e51,v2*v3*((-8.19e-6 / v1)^2)
6,8.0,4220.0,-0.9995550611790879,0.10335713089751287,4.3629229288521016e24,1.8209743505063523e50,(6.15e-11v2*v3) / (v1^2)
7,9.0,7896.0,-0.9995550611790879,0.08370148028016534,1.4259467320922955e25,5.5267131784106656e51,(6.71e-11v2*v3) / (v1^2)
8,8.0,3682.0,-0.9995550611790879,0.10358163949687094,4.310280162577681e24,1.8227677424416541e50,(6.15e-11v2*v3) / (v1^2)
9,8.0,1526.0,-0.9995550611790879,0.10335774966584325,4.362777840081816e24,1.8209743641289529e50,(6.15e-11v2*v3) / (v1^2)
10,9.0,5080.0,-0.9995550611790879,0.08368175407064733,1.4221744847447926e25,5.496289619703366e51,(6.7e-11v2*v3) / (v1^2)
11,8.0,3497.0,-0.9995550611790879,0.10335782485240118,4.3627602103411034e24,1.8209743676406754e50,(6.15e-11v2*v3) / (v1^2)
12,8.0,4542.0,-0.9995550611790879,0.10382529072225952,4.253148834213094e24,1.8287726074885374e50,(v2*v3) / (1.6384e10(v1^2))
13,8.0,783.0,-0.9995550611790879,0.10335716203144983,4.3629156285679694e24,1.8209743505408368e50,(6.15e-11v2*v3) / (v1^2)
14,9.0,3445.0,-0.9995550611790879,0.1041127037874274,4.1857562316263484e24,1.8412867858324523e50,(6.14e-11v2*v3) / (v1^2)
15,8.0,4723.0,-0.9995550611790879,0.10335718319361095,4.36291066646537e24,1.8209743506036453e50,(6.15e-11v2*v3) / (v1^2)
16,8.0,4024.0,-0.9995550611790879,0.1033571358191152,4.3629217748349976e24,1.8209743505072146e50,v2*v3*((-7.84e-6 / v1)^2)
17,8.0,4119.0,-0.9995550611790879,0.10439642802599716,4.119228584934378e24,1.8594059727998213e50,(6.14e-11v2*v3) / (v1^2)
18,8.0,4949.0,-0.9995550611790879,0.08430646029475246,1.541637192199967e25,6.501939313018936e51,(6.75e-11v2*v3) / (v1^2)
19,8.0,2562.0,-0.9995550611790879,0.10335777257429975,4.3627724685079794e24,1.8209743651563238e50,(6.15e-11v2*v3) / (v1^2)
20,8.0,2767.0,-0.9995550611790879,0.08430848585161344,1.542024539880169e25,6.505341698208263e51,(6.75e-11v2*v3) / (v1^2)
21,9.0,4047.0,-0.9995550611790879,0.10423829908641151,4.1563066515724514e24,1.8486009150800733e50,(6.14e-11v2*v3) / (v1^2)
22,9.0,4898.0,-0.9995550611790879,0.08370029833369827,1.4257207082116755e25,5.5248878271186414e51,(v2*v3) / (1.49e10(v1^2))
23,8.0,6114.0,-0.9995550611790879,0.083701542292361,1.42595859069799e25,5.526808956196063e51,(6.71e-11v2*v3) / (v1^2)
24,8.0,4151.0,-0.9995550611790879,0.10358163242424219,4.3102818209673737e24,1.8227676294500337e50,(6.15e-11v2*v3) / (v1^2)
25,9.0,2928.0,-0.9995550611790879,0.10335717767718813,4.362911959955949e24,1.820974350584198e50,(6.15e-11v2*v3) / (v1^2)
26,9.0,3803.0,-0.9995550611790879,0.10423616459564129,4.156807146872254e24,1.8484672352060903e50,(6.14e-11v2*v3) / (v1^2)
27,8.0,1355.0,-0.9995550611790879,0.08369720079478091,1.4251283651690733e25,5.5201055898665476e51,(v2*v3) / (1.4925373134328358e10(v1^2))
28,8.0,3864.0,-0.9995550611790879,0.10423759039310851,4.1564728259462787e24,1.8485564947563174e50,(6.14e-11v2*v3) / (v1^2)
29,8.0,6559.0,-0.9995550611790879,0.10350783347146347,4.327586196093903e24,1.8217824234849727e50,(6.15e-11v2*v3) / (v1^2)
30,9.0,5424.0,-0.9995550611790879,0.08450336900616343,1.5789072689428848e25,6.831545694548724e51,(6.77e-11v2*v3) / (v1^2)
