run,compl,age,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,8.0,2081.0,-0.9995550611790879,0.10341786227828913,4.348682637420628e24,1.821105581229937e50,(v2*v3) / (1.63e10(v1^2))
1,8.0,3321.0,-0.9995550611790879,0.08428181527820365,1.5369243203113937e25,6.460615723813463e51,(v2*v3) / (1.4814814814814816e10(v1^2))
2,8.0,5157.0,-0.9995550611790879,0.103408854225509,4.3507948452311543e24,1.8210695384894728e50,(6.15e-11v2*v3) / (v1^2)
3,8.0,2780.0,-0.9995550611790879,0.10365052982910385,4.29412676057588e24,1.8240372046164366e50,v2*v3*((7.84e-6 / v1)^2)
4,8.0,3770.0,-0.9995550611790879,0.10341676268327617,4.3489404704098175e24,1.8211008721549612e50,(v2*v3) / (1.6384e10(v1^2))
5,8.0,5902.0,-0.9995550611790879,0.08369780959690414,1.425244786531851e25,5.5210453399679816e51,(v2*v3) / (1.4925373134328358e10(v1^2))
6,8.0,7367.0,-0.9995550611790879,0.10335713090063087,4.362922928120977e24,1.8209743505063469e50,(6.15e-11v2*v3) / (v1^2)
7,8.0,6416.0,-0.9995550611790879,0.10335713090163695,4.36292292788506e24,1.820974350506346e50,(6.15e-11v2*v3) / (v1^2)
8,8.0,3260.0,-0.9995550611790879,0.10339953141756328,4.3529808568187125e24,1.8210383168543858e50,(v2*v3) / (1.63e10(v1^2))
9,8.0,5161.0,-0.9995550611790879,0.10339917521755612,4.353064378580377e24,1.8210372466264868e50,(v2*v3) / (1.63e10(v1^2))
10,8.0,6909.0,-0.9995550611790879,0.10335713090079551,4.3629229280823624e24,1.8209743505063444e50,v2*v3*((7.84e-6 / v1)^2)
11,8.0,6958.0,-0.9995550611790879,0.10335713090122901,4.3629229279807285e24,1.8209743505063473e50,(6.15e-11v2*v3) / (v1^2)
12,8.0,7855.0,-0.9995550611790879,0.10335713091656504,4.36292292438471e24,1.8209743505063398e50,(6.15e-11v2*v3) / (v1^2)
13,8.0,1407.0,-0.9995550611790879,0.10395466828715039,4.222812388619598e24,1.8336783196882688e50,(v2*v3) / (1.63e10(v1^2))
14,8.0,5289.0,-0.9995550611790879,0.10335734796613141,4.362872030612192e24,1.8209743521827902e50,(6.15e-11v2*v3) / (v1^2)
15,8.0,1478.0,-0.9995550611790879,0.10359671932530441,4.306744245085218e24,1.8230167510986226e50,(6.134969325153374e-11v2*v3) / (v1^2)
16,8.0,6371.0,-0.9995550611790879,0.083697780549035,1.425239231701498e25,5.5210004996480167e51,(6.7e-11v2*v3) / (v1^2)
17,8.0,5426.0,-0.9995550611790879,0.1033571026536555,4.362929551470493e24,1.8209743505347409e50,(6.15e-11v2*v3) / (v1^2)
18,8.0,6874.0,-0.9995550611790879,0.1033571309008446,4.3629229280708664e24,1.8209743505063508e50,v2*v3*((-7.84e-6 / v1)^2)
19,8.0,328.0,-0.9995550611790879,0.10335704991436494,4.3629419177769823e24,1.8209743507397153e50,(v2*v3) / (1.63e10(v1^2))
20,8.0,6693.0,-0.9995550611790879,0.10335713772420593,4.3629213281294094e24,1.8209743505080037e50,(6.15e-11v2*v3) / (v1^2)
21,8.0,2539.0,-0.9995550611790879,0.1033571058982953,4.3629287906674955e24,1.820974350528588e50,(6.134969325153374e-11v2*v3) / (v1^2)
22,8.0,95.0,-0.9995550611790879,0.10341064821662665,4.3503741902745897e24,1.8210762560723484e50,(v2*v3) / (1.63e10(v1^2))
23,8.0,2137.0,-0.9995550611790879,0.10335710787693272,4.362928326716674e24,1.8209743505252024e50,(6.134969325153374e-11v2*v3) / (v1^2)
24,8.0,961.0,-0.9995550611790879,0.0836991378381535,1.4254987863955989e25,5.523095907105418e51,(6.711409395973154e-11v2*v3) / (v1^2)
25,8.0,1896.0,-0.9995550611790879,0.08339411022368533,1.206096257639008e25,3.6466254312583385e51,(v2*v3) / (1.5129e10(v1^2))
26,8.0,7590.0,-0.9995550611790879,0.0836804153767658,1.4219184860219174e25,5.494228110511947e51,(6.711409395973154e-11v2*v3) / (v1^2)
27,8.0,466.0,-0.9995550611790879,0.10308163466769539,4.4275212724221047e24,1.823674828218663e50,(6.172839506172839e-11v2*v3) / (v1^2)
28,8.0,3018.0,-0.9995550611790879,0.10335730415197787,4.362882304152919e24,1.8209743515743122e50,(6.134969325153374e-11v2*v3) / (v1^2)
29,8.0,1095.0,-0.9995550611790879,0.10339765511251185,4.3534208127427576e24,1.8210327808456391e50,(v2*v3) / (1.63e10(v1^2))
30,8.0,4990.0,-0.9995550611790879,0.10360798320011878,4.3041030922256057e24,1.823213305876402e50,(6.15e-11v2*v3) / (v1^2)
