run,compl,age,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,6.0,3142.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,15.6 - 0.905log(v1)
1,6.0,2184.0,-1.0,2.247052958352008e-15,2.862667368110404e-14,9.904452073090272e-28,15.6 - 0.9090909090909091log(v1)
2,6.0,6513.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
3,6.0,7798.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
4,6.0,3146.0,-1.0,2.247052958352008e-15,2.862667368110404e-14,9.904452073090272e-28,15.6 - 0.905log(v1)
5,6.0,5251.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
6,6.0,3490.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
7,6.0,6279.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
8,6.0,3700.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
9,6.0,5158.0,-1.0,2.2655796287663834e-15,2.8899959348704076e-14,9.911733866061545e-28,-0.905log(3.09e-8v1)
10,6.0,6565.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
11,6.0,5467.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
12,6.0,4260.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
13,6.0,4524.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
14,6.0,1214.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
15,6.0,5679.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
16,6.0,2099.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
17,6.0,4730.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
18,6.0,3358.0,-1.0,2.261880362531608e-15,2.8831637931804064e-14,9.883820326338339e-28,-0.9090909090909091log(3.09e-8v1)
19,6.0,8274.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
20,6.0,4807.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
21,6.0,2804.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
22,6.0,2288.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
23,6.0,5362.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
24,6.0,4394.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
25,6.0,845.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
26,6.0,4786.0,-1.0,2.2598674935699224e-15,2.8831637931804064e-14,9.837702304186957e-28,-0.905log(3.09e-8v1)
27,6.0,3683.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
28,6.0,3198.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,15.6 - 0.905log(v1)
29,6.0,3581.0,-1.0,2.2656982137335422e-15,2.8899959348704076e-14,9.894743015795246e-28,15.6 - 0.905log(v1)
30,6.0,4729.0,-1.0,2.2470588659972035e-15,2.862667368110404e-14,9.819497821758779e-28,15.6 - 0.905log(v1)
