run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,10.0,1731.0,0,-0.9920634920634921,0.010735958607276568,0.2601535385044278,0.12101469335075102,-3.86e-9v1 - 1.29log(2v1)
1,10.0,2126.0,0,-0.9920634920634921,0.009472689834795918,0.23165951704793977,0.11095382640921717,-1.23(1.52 + 3.34e-9v1 + log(v1))
2,10.0,1145.0,0,-0.9920634920634921,0.010707393468575865,0.26089391258374817,0.12036000104280548,-1.2853470437017995(3.04e-9v1 + log(2.11v1))
4,10.0,853.0,0,-0.9920634920634921,0.00957481320661309,0.23081658230840463,0.10828199575101838,-1.23(1.61 + 3.25e-9v1 + log(v1))
5,10.0,1494.0,0,-0.9920634920634921,0.010761974920562304,0.2620140188489516,0.12091444701305641,-3.84e-9v1 - 1.29log(2v1)
7,10.0,1261.0,0,-0.9920634920634921,0.009940532051263329,0.24008401758647843,0.1093013522711563,-1.96 - 3.99e-9v1 - 1.23log(v1)
8,10.0,1380.0,0,-0.9920634920634921,0.009721013959232798,0.23512738458325405,0.10808806632817684,-4.016064257028113e-9v1 - 1.22log(5.33v1)
9,10.0,1558.0,0,-0.9920634920634921,0.010703996103657454,0.2597293627346168,0.1210348247774334,-1.29(2.99e-9v1 + log(2v1))
12,10.0,1688.0,0,-0.9920634920634921,0.009952586788092981,0.24590656087535925,0.11777914286047661,-2.07 - 3.89e-9v1 - 1.22log(v1)
14,10.0,2579.0,0,-0.9920634920634921,0.009463340623364912,0.22958242682564467,0.10862877611485243,1.23(-3.29e-9v1 - log(4.83v1))
15,11.0,619.0,0,-0.9920634920634921,0.009492482662615122,0.22960502939535857,0.10826261647943987,-2.4390243902439024(1.6447368421052632e-9v1 + log(sqrt(abs(-5.2356020942408374v1))))
16,12.0,2334.0,0,-0.9920634920634921,0.009811295375826432,0.23958025901779473,0.11067074541223436,((29700.0 + 4.11522633744856e-6v1)*log(3.7037037037037033v1)) / -23800.0
18,10.0,2715.0,0,-0.9920634920634921,0.010727564808216005,0.26008752182659056,0.12075805529173682,-1.29(2.99e-9v1 + log(2v1))
20,10.0,1752.0,0,-0.9920634920634921,0.009892863004794547,0.2404419226187834,0.1088956762009537,-1.23(3.3003300330033003e-9v1 + log(4.95v1))
21,12.0,3481.0,0,-0.9920634920634921,0.009488220870259767,0.2309638514421424,0.10902678727330753,-2.0 - 4.0730337078651686e-9v1 - 1.22log(v1)
22,10.0,710.0,0,-0.9920634920634921,0.010826860920254902,0.2623929168904148,0.12464416599451399,-3.83e-9v1 - 1.29log(2v1)
23,10.0,2387.0,0,-0.9920634920634921,0.0097063517884451,0.23430414813042083,0.10994541012336922,1.22log(0.176 / v1) - 3.97e-9v1
24,10.0,1852.0,0,-0.9920634920634921,0.009773385656468913,0.23891813810138696,0.1123064995466218,-3.93e-9v1 - 1.22log(5.13v1)
25,10.0,834.0,0,-0.9920634920634921,0.010616709011492904,0.25564153670554013,0.12133971718396369,-3.88e-9v1 - 1.28log(2.05v1)
26,10.0,115.0,0,-0.9920634920634921,0.009570843833598151,0.23237265403463767,0.10775717689541245,-4.06e-9v1 - 1.22log(5.58659217877095v1)
28,10.0,1068.0,0,-0.9920634920634921,0.009688878022212168,0.23400686342346727,0.10975078823243026,-2.1 - 3.97e-9v1 - 1.22log(v1)
29,10.0,166.0,0,-0.9920634920634921,0.009448676696721343,0.2290275439967457,0.11192850946564675,-2.12 - 4.032258064516129e-9v1 - 1.21log(v1)
30,10.0,431.0,0,-0.9920634920634921,0.01076098012991734,0.26109606053565393,0.12288341644487469,-3.84e-9v1 - 1.29log(2v1)
