run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
0,6.0,2939.0,0,-1.0,0.39275360946485616,0.13861728329743514,0.023753340891432623,(-1.08+exp((0.237*v1)))
1,26.0,499.0,0,-1.0,6.26998710513219e-5,2.5901427396261314e-5,1.407410457837111e-9,((1040.0+(v1*(-1040.0-v1)))/(((log(sqrt_abs((-4.01+v1)))--8970.0)/(-3.08-v1))+(sqrt_abs(v1)*(v1-319.0))))
5,8.0,394.0,0,-1.0,0.21522298834356776,0.08616325313602936,0.015127648253326688,(-25.9*(22.4-sqrt_abs((-500.0-v1))))
6,8.0,2646.0,0,-1.0,0.3075150779721798,0.12934030499615468,0.020769659282452963,(-1.01+(exp((0.257*v1))/1.13))
7,8.0,1435.0,0,-1.0,0.17626218373995076,0.09475881899451458,0.014329261407083651,(0.000529*(pow2((500.0+v1))-251000.0))
8,6.0,2732.0,0,-1.0,0.34128993195622315,0.1378237920778252,0.023065715721061423,(exp((0.238*v1))-1.12)
9,6.0,2830.0,0,-1.0,0.39275361001940573,0.13861728331603002,0.023753340916485163,(-1.08+exp((0.237*v1)))
11,28.0,595.0,0,-1.0,1.2338197638710362e-7,4.6044093630549436e-8,2.907951526522078e-15,((((-1000.0-v1)*(1.0-v1))/790.0)*(0.518-(-62.6/((-195.0+pow3((-4.12-v1)))-(-0.106/log(pow2((1.56-v1))))))))
12,9.0,3250.0,0,-1.0,0.37867027737856496,0.09820800433189808,0.02164112719345078,pow3((sqrt_abs((0.299*v1))+(0.0183*v1)))
13,6.0,3134.0,0,-1.0,0.2539050600198157,0.14299382963849447,0.02517493270619782,(-1.19+exp((0.244*v1)))
14,6.0,2387.0,0,-1.0,0.39275342053481893,0.13861727960463688,0.023753335112442698,(-1.08+exp((v1/4.23)))
16,30.0,321.0,0,-1.0,1.3924600405190598e-6,7.702325151270314e-7,1.032023558393109e-12,((26800.0+pow3((-28.9-v1)))/(pow3((v1+(-167.0/(v1--12.6))))+((-4940.0-(56.7*v1))-log(sqrt_abs((-0.148/pow3((-1.98+v1))))))))
17,8.0,2400.0,0,-1.0,0.21029782441472533,0.08379294206647286,0.014383877556277702,(-0.000575*(251000.0-pow2((-500.0-v1))))
18,8.0,2766.0,0,-1.0,0.11389474173766376,0.08413199402052254,0.013214031441359221,(-137.0+pow2(((-500.0-v1)/42.8)))
19,8.0,1636.0,0,-1.0,0.48137049606198096,0.14594236000527278,0.029981694224131543,(0.837*(exp((v1/3.86))-1.01))
20,9.0,2028.0,0,-1.0,0.3830629158683286,0.12145113254042286,0.025147325420452334,(pow2((v1/-0.0318))/pow3((v1--17.2)))
21,6.0,1601.0,0,-1.0,0.4228452098364981,0.13818239785328876,0.024403948746053682,(exp((v1/4.21))-1.06)
22,6.0,2931.0,0,-1.0,0.31589978190151274,0.13730456223967083,0.02307730521727036,(-1.14+exp((0.24*v1)))
23,6.0,3167.0,0,-1.0,0.4228460076029828,0.13818241265637107,0.024403982573847606,(-1.06+exp((0.238*v1)))
24,6.0,2684.0,0,-1.0,0.25389371910441155,0.14299554498326858,0.025175745835565245,(exp((0.244*v1))-1.19)
25,9.0,2637.0,0,-1.0,0.1379746383640392,0.08181658086744367,0.010508668531747489,((v1*(0.558+(v1/1790.0)))-0.543)
26,6.0,2291.0,0,-1.0,0.42280925071607833,0.13818163114931484,0.02440244180954137,(exp((v1/4.21))-1.06)
27,8.0,3397.0,0,-1.0,0.28340696276172017,0.1331740182920598,0.024587872356815837,log(sqrt(abs(exp(v1 - 0.66) - 0.149)))
30,7.0,2833.0,0,-1.0,0.30699830920260085,0.1377087454748481,0.023950043206699762,(-1.14+sqrt_abs(exp((0.478*v1))))
