run,compl,age,dim_penalty,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
1,9.0,522.0,0,-1.0,2.039276733729747e-15,6.591949208711867e-16,1.214491422930591e-30,log(0.4 + 0.3exp(0.693v1))
3,9.0,50.0,0,-1.0,7.191730953532006e-16,4.649058915617843e-16,4.133045660655008e-31,log(0.4 + 0.3exp(0.693v1))
5,9.0,176.0,0,-1.0,8.663948638531745e-16,4.510281037539698e-16,3.208599287349135e-31,log(0.4 + 0.3exp(0.693v1))
6,9.0,695.0,0,-1.0,8.532742661456375e-16,2.3592239273284576e-16,1.0322984501915584e-31,log(0.4 + 0.3exp(0.693v1))
7,9.0,466.0,0,-1.0,4.900963309170338e-16,4.163336342344337e-16,2.611561004589092e-31,log(0.4 + 0.3exp(0.693v1))
8,9.0,56.0,0,-1.0,8.708737658298403e-16,2.7755575615628914e-16,1.078520768856852e-31,log(0.4 + 0.3exp(0.693v1))
10,9.0,291.0,0,-1.0,3.5291890738771687e-15,1.0755285551056206e-15,1.4979883107443927e-30,log(0.4 + 0.3exp(0.693v1))
12,9.0,2688.0,0,-1.0,5.493114257505212e-15,1.8041124150158798e-15,4.0406010233244236e-30,log(0.4 + 0.3 / exp(-0.693v1))
13,9.0,1085.0,0,-1.0,4.356345069758612e-15,1.262878690511116e-15,2.2017231124234894e-30,log(0.4 + 0.3exp(0.693v1))
14,9.0,1230.0,0,-1.0,8.708737658298403e-16,2.7755575615628914e-16,1.078520768856852e-31,log(0.4 + 0.3exp(0.693v1))
15,9.0,1587.0,0,-1.0,1.0876533478915059e-16,1.249000902703301e-16,5.084455053182303e-32,log(0.4 + 0.3exp(0.693v1))
17,9.0,2025.0,0,-1.0,4.779896138191256e-16,2.636779683484747e-16,1.494521636844495e-31,log(0.4 + 0.3exp(0.693v1))
18,9.0,522.0,0,-1.0,4.543684878083146e-17,4.163336342344337e-17,1.3866695599588098e-32,log(0.4 + 0.3exp(0.693v1))
20,9.0,455.0,0,-1.0,2.552447871572827e-15,6.730727086790013e-16,7.106681494788904e-31,log(0.4 + 0.3exp(0.693v1))
21,9.0,140.0,0,-1.0,1.0024554855384681e-15,5.412337245047638e-16,4.352601674315153e-31,log(0.4 + 0.3exp(0.693v1))
22,9.0,1679.0,0,-1.0,4.70598267459777e-15,1.3739009929736316e-15,2.7810428396951707e-30,log(0.4 + 0.3exp(0.693v1))
23,9.0,1825.0,0,-1.0,5.765727510764229e-16,2.2898349882893854e-16,1.282669342961899e-31,log(0.4 + 0.3exp(0.6944444444444444v1))
24,9.0,4.0,0,-1.0,6.523142806895334e-16,1.5959455978986625e-16,5.122973652070047e-32,log(0.4 + 0.3exp(0.693v1))
25,9.0,463.0,0,-1.0,2.0743574549951683e-15,5.828670879282073e-16,5.146084811402696e-31,log(0.4 + 0.3exp(0.693v1))
26,9.0,440.0,0,-1.0,4.931352300794027e-16,2.7755575615628914e-16,1.509929076399593e-31,log(0.4 + 0.3exp(0.693v1))
27,9.0,126.0,0,-1.0,2.918419073017733e-15,9.71445146547012e-16,1.2880619468061837e-30,log(0.4 + 0.3exp(0.693v1))
28,9.0,252.0,0,-1.0,8.994058207343474e-16,3.122502256758253e-16,1.3597065407373885e-31,log(0.4 + 0.3exp(0.693v1))
29,9.0,233.0,0,-1.0,5.611365369757176e-16,4.371503159461554e-16,3.4397108806756032e-31,log(0.4 + 0.3exp(0.693v1))
30,9.0,352.0,0,-1.0,5.995795662519348e-16,1.8041124150158794e-16,5.777789833161708e-32,log(0.4 + 0.3exp(0.693v1))
