run,compl,age,minus_spearman,mare,mae,ms_processed_e,eqs_orig_rounded
1,6.0,3162.0,-1.0,0.5328059097421252,0.13607294053803123,0.02955158627525701,exp(0.232v1) - 0.997
2,8.0,2773.0,-1.0,0.19002746114503322,0.13132017578550598,0.03198415297274743,0.0004950495049504951((-501.0 - v1)^2 - 251000.0)
3,6.0,2884.0,-1.0,0.34754771778145555,0.13361166138529296,0.02018088974152628,exp(0.238v1) - 1.12
4,6.0,3134.0,-1.0,0.252565381039798,0.13149462917732221,0.02127640367042637,exp(0.243v1) - 1.18
6,6.0,2887.0,-1.0,0.2649239597215291,0.1329894886427787,0.02189557192293612,exp(0.239v1) - 1.17
7,6.0,2847.0,-1.0,0.19388903891496218,0.14776551954415948,0.0387729148966049,exp(0.255v1) - 1.23
10,6.0,2994.0,-1.0,0.2667373249020639,0.14142564882036265,0.029391739058568928,exp(0.25v1) - 1.18
12,6.0,2869.0,-1.0,0.34754772093693637,0.13361166152117823,0.020180889834190315,exp(0.238v1) - 1.12
13,6.0,3068.0,-1.0,0.2979055842943119,0.13336392347800138,0.02093339618957659,exp(0.238v1) - 1.15
14,6.0,3272.0,-1.0,0.33506196026676144,0.13284959173036565,0.019890712903351298,exp(0.24v1) - 1.13
15,9.0,3117.0,-1.0,0.5240490013971896,0.1285185449127856,0.02968258403921895,exp(0.235v1) - exp(6.0606060606060605e-5v1)
16,6.0,2816.0,-1.0,0.41352194768860684,0.1348222815962684,0.02189115481568623,exp(0.235v1) - 1.07
18,6.0,2971.0,-1.0,0.2007712475797381,0.13304672034171788,0.024118525908847305,exp(0.244v1) - 1.22
19,6.0,2942.0,-1.0,0.3924875472867501,0.13394723847025733,0.020840548423631117,exp(0.237v1) - 1.09
21,6.0,2950.0,-1.0,0.26667850433293594,0.14143472493394432,0.029400010887299446,exp(0.25v1) - 1.18
22,6.0,3034.0,-1.0,0.29731858939443007,0.13334970031894372,0.020934706689423915,exp(0.238v1) - 1.15
24,6.0,3529.0,-1.0,0.2007568340551495,0.13304900284622329,0.024119793388432887,exp(0.244v1) - 1.22
25,6.0,1117.0,-1.0,0.29325962262888033,0.1321126003988608,0.02019657247348263,exp(0.241v1) - 1.15
26,6.0,3485.0,-1.0,0.2973185894901346,0.1333497003204728,0.02093470668803097,exp(0.238v1) - 1.15
27,7.0,3348.0,-1.0,0.2398652462483151,0.1320044686805767,0.022029651330110908,exp(0.12077294685990339v1)^2 - 1.19
28,6.0,4068.0,-1.0,0.2666781272798953,0.1414347838325851,0.029400064353513625,exp(0.25v1) - 1.18
29,6.0,3085.0,-1.0,0.41706996650516903,0.13491410034192866,0.022066509700011918,exp(0.235v1) - 1.07
