max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
0.17446879730156012,1.0,0,3289.0,100.0,true,2.3192748813913546,0.14619516155682977,1.0,13.0603506715165,0.00997898773957373,1.836817652635,0.09026199012642633,1.836817652635,1.0,1.1567331445008882,13.1
0.01722860001138826,4.0,0,3268.0,-1.0,true,0.2649694169759762,0.013996000252505579,1.0,log((8.39652306678778e6/v1)),-0.9889670911574873,0.020065211225033647,0.00928918155823388,0.020065211225033647,8.0,0.12095456899811442,log((8.4e6/v1))
4.2683845591343105e-15,6.0,0,3090.0,-1.0,true,4.796163466380676e-14,2.9212555031463217e-15,2.0,(15.65+(-0.905069700286375*log(v1))),-1.0,9.819497821758779e-28,2.2470588659972035e-15,9.819497821758779e-28,6.0,2.862667368110404e-14,(15.6+(-0.905*log(v1)))
4.1102962421293356e-15,9.0,0,2746.0,-1.0,true,4.973799150320701e-14,2.8099189621408083e-15,3.0,(-1.81013940057275*(-9.68941825414566-log(sqrt_abs((-0.124015271311554/v1))))),-1.0,9.721193616646623e-28,2.2289779005495337e-15,9.721193616646623e-28,258.0,2.842170943040401e-14,(-1.81*(-9.69-log(sqrt_abs((-0.124/v1)))))
4.389024925541615e-15,12.0,0,157.0,-1.0,true,6.750155989720952e-14,2.571580538738851e-15,3.0,(13.9168989560349-(0.905069700286367*log((v1*(v1+(0.147359323150189-v1)))))),-1.0,8.341293848590792e-28,1.9266300186342095e-15,8.341293848590792e-28,2050.0,2.5210602836103553e-14,(13.9-(0.905*log((v1*(v1+(0.147-v1))))))
4.2735242696063096e-15,13.0,0,1727.0,-1.0,true,6.572520305780927e-14,2.4052393621889692e-15,3.0,(14.1402978285619-(0.301689900095456*log(pow3((v1*(v1+(0.188614368454513-v1))))))),-1.0,8.235707850507363e-28,1.9276394399434296e-15,8.235707850507363e-28,1.7976931348623157e308,2.5278924253003563e-14,(14.1-(0.302*log(pow3((v1*(v1+(0.189-v1)))))))
3.927022301800393e-15,14.0,0,2573.0,-1.0,true,6.039613253960852e-14,2.4164042338077046e-15,4.0,((11.5657476653666+(-0.729576403284011*log((v1*(v1+(0.237212916538615-v1))))))/0.806099688292701),-1.0,7.644668987672544e-28,1.827808554091257e-15,7.644668987672544e-28,2051.0,2.398081733190338e-14,((11.6+(-0.73*log((v1*(v1+(0.237-v1))))))/0.806)
3.802403529948312e-15,15.0,0,1430.0,-1.0,true,4.973799150320701e-14,2.560750442202716e-15,3.0,(14.3311151051366-(log((v1*(v1+(0.26743335206094-v1))))-(0.0949302997136258*log(v1)))),-1.0,7.4747604850095565e-28,1.805491845026552e-15,7.4747604850095565e-28,2054.0,2.3570888830503325e-14,(14.3-(log((v1*(v1+(0.267-v1))))-(0.0949*log(v1))))
3.540476748517405e-15,17.0,0,1371.0,-1.0,true,4.973799150320701e-14,2.515988008003251e-15,4.0,(22.6145028945714-((8.55444868794225+log((v1+(0.203936666153841-v1))))-(-0.226267425071592*log(pow2(pow2(v1)))))),-1.0,7.290288396404028e-28,1.7837093444544515e-15,7.290288396404028e-28,65571.0,2.3297603162903284e-14,(22.6-((8.55+log((v1+(0.204-v1))))-(-0.226*log(pow2(pow2(v1))))))
3.259203025669982e-15,18.0,0,1268.0,-1.0,true,4.440892098500626e-14,2.5443175189407372e-15,4.0,(22.6931424702434-((8.4758091760359+log((v1*(v1+(0.238671605899886-v1)))))-(0.0474651498568134*log(pow2(v1))))),-1.0,7.161643387244908e-28,1.7857920640521195e-15,7.161643387244908e-28,2067.0,2.3297603162903284e-14,(22.7-((8.48+log((v1*(v1+(0.239-v1)))))-(0.0475*log(pow2(v1)))))
