max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
0.17662156254189978,1.0,0,436.0,100.0,true,2.2953356596624452,0.1455466481524597,1.0,13.0842898932455,0.013840653434108674,1.8438407449987055,0.0905897137601581,1.8438407449987055,1.0,1.158852960683093,13.1
0.017367761953834854,4.0,0,85.0,-1.0,true,0.26710967554202014,0.013890524452860827,1.0,log((8.41451304193844e6/v1)),-0.9889467389130725,0.02010222522459765,0.009274434581218929,0.02010222522459765,8.0,0.12095456899811428,log((8.41e6/v1))
4.2683845591343105e-15,6.0,0,4466.0,-1.0,true,4.796163466380676e-14,2.9212555031463217e-15,2.0,(15.65-(0.905069700286375*log(v1))),-1.0,9.819497821758779e-28,2.2470588659972035e-15,9.819497821758779e-28,6.0,2.862667368110404e-14,(15.6-(0.905*log(v1)))
4.1102962421293356e-15,7.0,0,1684.0,-1.0,true,4.796163466380676e-14,2.8099189621408083e-15,2.0,(-0.301689900095459*log(pow3((3.0931648835022e-8*v1)))),-1.0,9.751534420693585e-28,2.2253861354597785e-15,9.751534420693585e-28,257.0,2.8353388013503998e-14,(-0.302*log(pow3((3.09e-8*v1))))
3.9522079251243615e-15,8.0,0,3242.0,-1.0,true,4.973799150320701e-14,2.672544482763662e-15,2.0,(-0.603379800190918*log(pow3(sqrt_abs((3.09316488350224e-8*v1))))),-1.0,9.726048145294136e-28,2.2185191644966308e-15,9.726048145294136e-28,1.157920892373162e77,2.828506659660399e-14,(-0.603*log(pow3(sqrt_abs((3.09e-8*v1)))))
3.530803277809147e-15,10.0,0,2424.0,-1.0,true,4.618527782440651e-14,2.575936752639779e-15,3.0,(-0.905069700286374*log((1.01462816782715e-5*(v1+(-0.996951430108504*v1))))),-1.0,7.1215935259029185e-28,1.9052267668807144e-15,7.1215935259029185e-28,65.0,2.418578158260341e-14,(-0.905*log((1.01e-5*(v1+(-0.997*v1)))))
3.66660340387873e-15,12.0,0,714.0,-1.0,true,5.3290705182007514e-14,2.527922734852609e-15,3.0,(-3.55506657895659*(v1+(-4.40216790668186-(v1+(-0.254585865042226*log(v1)))))),-1.0,6.883721622174737e-28,1.5929415144845527e-15,6.883721622174737e-28,11.0,2.1179639239002987e-14,(-3.56*(v1+(-4.4-(v1+(-0.255*log(v1))))))
3.3929568839958463e-15,13.0,0,1551.0,-1.0,true,4.618527782440651e-14,2.632847299002935e-15,3.0,(log((0.000411358818931731*(sqrt_abs(v1)*(v1+(0.427543908493467-v1)))))/-0.552443640353659),-1.0,6.827894542728327e-28,1.72980385392785e-15,6.827894542728327e-28,4.194305e6,2.2546067577003178e-14,(log((0.000411*(sqrt_abs(v1)*(v1+(0.428-v1)))))/-0.552)
3.259203025669982e-15,14.0,0,1388.0,-1.0,true,4.440892098500626e-14,2.4616018565064e-15,3.0,(log(pow3((0.00041135881893173*(sqrt_abs(v1)*(v1+(0.427543908493467-v1))))))/-1.65733092106098),-1.0,6.806049163814514e-28,1.739994722338301e-15,6.806049163814514e-28,1.7976931348623157e308,2.26827104108032e-14,(log(pow3((0.000411*(sqrt_abs(v1)*(v1+(0.428-v1))))))/-1.66)
3.3929568839958463e-15,19.0,0,258.0,-1.0,true,4.618527782440651e-14,2.632847299002935e-15,4.0,(log((0.000411358818931731*(sqrt_abs(((6.30032255988668e-17*(v1+v1))-v1))*(v1+(0.427543908493467-v1)))))/-0.552443640353659),-1.0,6.79391284219573e-28,1.7276160253618215e-15,6.79391284219573e-28,1.824976247048878e193,2.2546067577003178e-14,(log((0.000411*(sqrt_abs(((6.3e-17*(v1+v1))-v1))*(v1+(0.428-v1)))))/-0.552)
3.802403529948312e-15,21.0,0,685.0,-1.0,true,5.1514348342607263e-14,2.188760139133098e-15,4.0,(-3.55506657893963*(v1+(-4.40216790670287-(v1+(-0.254585865043441*log((v1+(pow3(v1)*(v1+(-4.585240561721569e-16-v1)))))))))),-1.0,6.4346777222797e-28,1.632903910396002e-15,6.4346777222797e-28,8.388615e6,2.1179639239002987e-14,(-3.56*(v1+(-4.4-(v1+(-0.255*log((v1+(pow3(v1)*(v1+(-4.59e-16-v1))))))))))
3.3905541468049977e-15,22.0,0,1483.0,-1.0,true,4.796163466380676e-14,2.1459210386604457e-15,4.0,((v1*(v1+(20.0425300348027-(log(v1)+(v1+(15.5062864078266-(log(pow2(v1))/2.71127517840294)))))))/(0.289855822809975*v1)),-1.0,6.204087611522788e-28,1.5772839276477934e-15,6.204087611522788e-28,166.0,2.0769710737602927e-14,((v1*(v1+(20.0-(log(v1)+(v1+(15.5-(log(pow2(v1))/2.71)))))))/(0.29*v1))
2.935959980358961e-15,23.0,0,535.0,-1.0,true,3.730349362740526e-14,2.3840378344825147e-15,4.0,((v1*(v1+(19.6990037728787-(log(v1)+(v1+(15.8498143166591-(log(pow3(sqrt_abs(v1)))/1.92952364500944)))))))/(0.245954597841506*v1)),-1.0,5.278086272009508e-28,1.4841302095503046e-15,5.278086272009508e-28,393286.0,1.9471603816502746e-14,((v1*(v1+(19.7-(log(v1)+(v1+(15.8-(log(pow3(sqrt_abs(v1)))/1.93)))))))/(0.246*v1))
4.1532703878900145e-15,27.0,0,1542.0,-1.0,true,4.618527782440651e-14,2.162831540619085e-15,6.0,((v1*(v1+(19.4256041341614-(log((2.7242479426127002e-15+v1))+(v1+(16.1232139564601-(log(pow3(sqrt_abs(v1)))/1.85410332087477)))))))/(0.211015346817976*(2.0417245482527602e-15+v1))),-1.0,5.2259000890487335e-28,1.5121599277698215e-15,5.2259000890487335e-28,524413.0,1.9403282399602736e-14,((v1*(v1+(19.4-(log((2.72e-15+v1))+(v1+(16.1-(log(pow3(sqrt_abs(v1)))/1.85)))))))/(0.211*(2.04e-15+v1)))
4.1532703878900145e-15,28.0,0,1527.0,-1.0,true,4.618527782440651e-14,2.162831540619085e-15,6.0,((v1*(v1+(19.4256041341614-(log((2.5857550089930204e-15+v1))+(v1+(16.1232139564601-(log((v1*sqrt_abs(v1)))/1.85410332087477)))))))/(0.211015346817976*(2.1084390429711e-15+v1))),-1.0,5.201627445811164e-28,1.5024285065682083e-15,5.201627445811164e-28,4221.0,1.9266639565802718e-14,((v1*(v1+(19.4-(log((2.59e-15+v1))+(v1+(16.1-(log((v1*sqrt_abs(v1)))/1.85)))))))/(0.211*(2.11e-15+v1)))
