max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
5.678010528162287,1.0,0,3308.0,-0.2933393765418646,true,716.5161342445573,1.2917781468528857,1.0,842.707540669522,0.015827545527697717,194491.8418960179,1.1214119747636728,194491.8418960179,1.0,396.112225425045,843.0
3.650124572518154e-15,3.0,0,3308.0,-1.0,true,5.229594535194337e-12,1.7442479129585407e-15,1.0,(73.3*v1),-1.0,3.268790521552731e-24,1.2260011154994829e-15,3.268790521552731e-24,3.0,1.0999201549566352e-12,(73.3*v1)
3.94147215823146e-15,5.0,0,3294.0,-1.0,true,4.320099833421409e-12,1.762810181134203e-15,1.0,exp(log((73.3*v1))),-1.0,3.0302827392987735e-24,1.3716400842716648e-15,3.0302827392987735e-24,256.0,1.179027246204593e-12,exp(log((73.3*v1)))
3.680928429412487e-15,7.0,0,3287.0,-1.0,true,5.229594535194337e-12,1.510624981779911e-15,2.0,(8.62054703940792*exp(log((8.50294066779252*v1)))),-1.0,2.9972641772498428e-24,1.1831595099834012e-15,2.9972641772498428e-24,257.0,1.0317080523236654e-12,(8.62*exp(log((8.5*v1))))
3.366643003102628e-15,8.0,0,2994.0,-1.0,true,4.774847184307873e-12,2.0161567909835133e-15,2.0,(v1*pow3((4.18505649379157+(7.30429116865143e-17*v1)))),-1.0,2.990916266136256e-24,1.3006849287244204e-15,2.990916266136256e-24,33.0,1.1136573145146636e-12,(v1*pow3((4.19+(7.3e-17*v1))))
3.366643003102628e-15,8.0,1,545.0,-1.0,true,4.320099833421409e-12,2.0161567909835133e-15,2.0,((73.3*v1)-(-3.3377916638897602e-21*exp(v1))),-1.0,2.9455115360608155e-24,1.2252072865076833e-15,2.9455115360608155e-24,8.0,1.0828671292983927e-12,((73.3*v1)-(-3.3400000000000004e-21*exp(v1)))
4.166699138701829e-15,9.0,0,3287.0,-1.0,true,5.4569682106375694e-12,1.79845957783301e-15,2.0,((v1+(618.228507961728*v1))+(-545.928507961728*v1)),-1.0,2.7729466353219088e-24,1.1934041328835967e-15,2.7729466353219088e-24,8.0,1.0066022089934752e-12,((v1+(618.0*v1))+(-546.0*v1))
3.366643003102628e-15,11.0,0,3285.0,-1.0,true,3.637978807091713e-12,1.869394787813464e-15,3.0,(v1*((-51.1020953885004*v1)+(73.2999999999999+(51.1020953885004*v1)))),-1.0,1.780942477046543e-24,1.1610610276102104e-15,1.780942477046543e-24,15.0,9.085473114585814e-13,(v1*((-51.1*v1)+(73.3+(51.1*v1))))
3.1562278154087136e-15,16.0,0,2736.0,-1.0,true,3.410605131648481e-12,1.3253964791260207e-15,3.0,(pow3((v1/0.85694338502116))+(v1*(73.2999999999999-(v1*(v1+(0.589072119357957*v1)))))),-1.0,1.4989686692778158e-24,1.1673398052521495e-15,1.4989686692778158e-24,33.0,8.706516988847094e-13,(pow3((v1/0.857))+(v1*(73.3-(v1*(v1+(0.589*v1))))))
5.968514982464783e-15,17.0,0,470.0,-1.0,true,3.183231456205249e-12,1.2875132964957975e-15,3.0,(pow3(v1)+(pow3(v1)+(v1*(73.3000000000002-(v1*(4.58323744959289e-14+(2.0*v1))))))),-1.0,1.269427395616962e-24,1.2746650021200406e-15,1.269427395616962e-24,29.0,8.114398042380344e-13,(pow3(v1)+(pow3(v1)+(v1*(73.3-(v1*(4.58e-14+(2.0*v1)))))))
5.743288001994414e-15,19.0,0,1574.0,-1.0,true,3.183231456205249e-12,1.1630163857351824e-15,3.0,(pow3(v1)+(pow3(v1)+(v1*(73.3000000000002-(v1*(v1+(5.06169929235491e-14+(0.999999999999998*v1)))))))),-1.0,1.0073522360473457e-24,1.1677883034324155e-15,1.0073522360473457e-24,37.0,7.0912165028858e-13,(pow3(v1)+(pow3(v1)+(v1*(73.3-(v1*(v1+(5.06e-14+(1.0*v1))))))))
5.743288001994414e-15,21.0,0,371.0,-1.0,true,2.2737367544323206e-12,1.228008571504102e-15,4.0,(pow3(v1)+(pow3(v1)+(v1*(73.3000000000002-(v1*(((0.999999999999998*v1)-0.999999999998301)+(0.999999999998352+v1))))))),-1.0,8.437201858362534e-25,1.1519802536076043e-15,8.437201858362534e-25,41.0,6.816473311725228e-13,(pow3(v1)+(pow3(v1)+(v1*(73.3-(v1*(((1.0*v1)-1.0)+(1.0+v1)))))))
5.968514982464783e-15,23.0,0,1996.0,-1.0,true,2.0463630789890885e-12,1.2458288059871494e-15,4.0,((v1*(v1*(v1+v1)))-(v1*(-73.3000000000002-(v1*(36.649999999987-((0.999999999999998*v1)-(-36.649999999987-v1))))))),-1.0,7.685684576580146e-25,1.168221596895496e-15,7.685684576580146e-25,52.0,6.816473311725228e-13,((v1*(v1*(v1+v1)))-(v1*(-73.3-(v1*(36.6-((1.0*v1)-(-36.6-v1)))))))
3.028044105386676e-15,23.0,1,1987.0,-1.0,true,1.8189894035458565e-12,1.4918814429945397e-15,4.0,(((v1*(v1*(-2.72056516406085*v1)))+(2.72056516406085*(v1+(v1*(26.3105018698012-(v1*(-4.87314876791433e-16-v1)))))))-v1),-1.0,6.998184934978252e-25,1.0300459587071844e-15,6.998184934978252e-25,37.0,6.650680006714537e-13,(((v1*(v1*(-2.72*v1)))+(2.72*(v1+(v1*(26.3-(v1*(-4.87e-16-v1)))))))-v1)
4.279312628937014e-15,25.0,1,2538.0,-1.0,true,1.8189894035458565e-12,1.2799488066666087e-15,5.0,(((v1*(v1*(-2.72056516406085*v1)))+((2.72056516406085*(v1+(v1*(26.3105018698012-(v1*(-4.87314876791433e-16-v1))))))--3.53163829727807e-13))-v1),-1.0,5.955592704572873e-25,8.711918334144193e-16,5.955592704572873e-25,38.0,5.665394079793866e-13,(((v1*(v1*(-2.72*v1)))+((2.72*(v1+(v1*(26.3-(v1*(-4.87e-16-v1))))))--3.53e-13))-v1)
4.954993570348121e-15,25.0,0,157.0,-1.0,true,2.0463630789890885e-12,1.2257223419164805e-15,5.0,(((v1*(v1*(v1+v1)))-(v1*(-73.3000000000002-(v1*(36.649999999987-((0.999999999999998*v1)-(-36.649999999987-v1)))))))-1.32850648156162e-13),-1.0,7.320494568189832e-25,1.0614699356801644e-15,7.320494568189832e-25,53.0,6.792788553866557e-13,(((v1*(v1*(v1+v1)))-(v1*(-73.3-(v1*(36.6-((1.0*v1)-(-36.6-v1)))))))-1.33e-13)
5.743288001994414e-15,27.0,0,292.0,-1.0,true,2.0463630789890885e-12,1.176292289306742e-15,5.0,(pow3(v1)+(pow3(v1)+(v1*(73.3000000000002-(v1*((5.1315991577499003e-14-(-0.180555555555489*v1))+(v1+((-0.486111111111028*v1)+(1.30555555555554*v1))))))))),-1.0,7.235743559791048e-25,1.1429775683307486e-15,7.235743559791048e-25,61.0,6.589099636281996e-13,(pow3(v1)+(pow3(v1)+(v1*(73.3-(v1*((5.13e-14-(-0.181*v1))+(v1+((-0.486*v1)+(1.31*v1)))))))))
5.743288001994414e-15,28.0,0,172.0,-1.0,true,2.2737367544323206e-12,1.1781931740976675e-15,6.0,(v1*(((pow2(v1)--73.3000000000002)+(v1*((0.500000000250357+(-0.999999999999998*v1))+(-0.500000000250409-v1))))+(v1*((-0.999999999999998*v1)-(-2.0*v1))))),-1.0,6.932282443141548e-25,1.134604673394816e-15,6.932282443141548e-25,67.0,6.541730120564655e-13,(v1*(((pow2(v1)--73.3)+(v1*((0.5+(-1.0*v1))+(-0.5-v1))))+(v1*((-1.0*v1)-(-2.0*v1)))))
