max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
5.335183207844134,1.0,0,5509.0,100.0,true,673.2542725327075,1.1741257176547113,1.0,799.445678957672,0.000725633247274482,191600.40747045717,1.0646870267669373,191600.40747045717,1.0,396.79617675168015,799.0
3.650124572518154e-15,3.0,0,5508.0,-1.0,true,5.229594535194337e-12,1.7442479129585407e-15,1.0,(73.3*v1),-1.0,3.268790521552731e-24,1.2260011154994829e-15,3.268790521552731e-24,3.0,1.0999201549566352e-12,(73.3*v1)
3.94147215823146e-15,5.0,0,5241.0,-1.0,true,4.320099833421409e-12,1.762810181134203e-15,1.0,exp(log((73.3*v1))),-1.0,3.0302827392987735e-24,1.3716400842716648e-15,3.0302827392987735e-24,256.0,1.179027246204593e-12,exp(log((73.3*v1)))
3.491018197290722e-15,7.0,0,5142.0,-1.0,true,3.865352482534945e-12,1.993532423422394e-15,2.0,(1037.90469307184*((1.07062305478459*v1)-v1)),-1.0,2.172971426698648e-24,1.3153296205719378e-15,2.172971426698648e-24,6.0,1.0397608699956133e-12,(1040.0*((1.07*v1)-v1))
3.103430373364877e-15,9.0,0,3068.0,-1.0,true,2.9558577807620168e-12,1.6992889103424258e-15,3.0,(((-53.2539917139737*v1)+(58.0959441185734*v1))/0.0660566494488359),-1.0,1.5684187211960252e-24,1.1710605365390245e-15,1.5684187211960252e-24,7.0,9.023892744153272e-13,(((-53.3*v1)+(58.1*v1))/0.0661)
3.366643003102628e-15,11.0,0,1336.0,-1.0,true,3.637978807091713e-12,1.4658678633350857e-15,3.0,(38.7910818758679*(v1*((14.6502647432128+v1)-(12.7606551614393+v1)))),-1.0,1.4767880042520814e-24,1.0348490200129371e-15,1.4767880042520814e-24,14.0,7.697546304067752e-13,(38.8*(v1*((14.7+v1)-(12.8+v1))))
3.1562278154087136e-15,12.0,0,2342.0,-1.0,true,3.410605131648481e-12,1.3322174490161862e-15,2.0,exp(log(((v1*pow2((v1-(-1.478102928517+v1))))/0.0298061155155597))),-1.0,1.42374289335594e-24,1.0249916463382694e-15,1.42374289335594e-24,1.7976931348623157e308,8.13334584866728e-13,exp(log(((v1*pow2((v1-(-1.48+v1))))/0.0298)))
6.193741962935152e-15,13.0,0,253.0,-1.0,true,2.7284841053187847e-12,1.793150563506143e-15,4.0,(8.58659976533103e-13-(v1*((-56.6972870192092*v1)+(-73.2999999999997-(-56.6972870192092*v1))))),-1.0,1.286848810210771e-24,1.190085268853696e-15,1.286848810210771e-24,16.0,8.019659010945664e-13,(8.59e-13-(v1*((-56.7*v1)+(-73.3-(-56.7*v1)))))
3.3784047070555374e-15,15.0,0,910.0,-1.0,true,3.637978807091713e-12,1.24520978606223e-15,4.0,(21.1434570779307*(v1*(v1-(((4.54238346544697*v1)+(-3.54238346544697*v1))-3.4667935205596)))),-1.0,1.1601531208482992e-24,9.610327022322725e-16,1.1601531208482992e-24,20.0,7.25700980789649e-13,(21.1*(v1*(v1-(((4.54*v1)+(-3.54*v1))-3.47))))
2.8153372558796144e-15,17.0,0,3165.0,-1.0,true,3.183231456205249e-12,1.2956534257613589e-15,4.0,(v1*(73.2999999999999+((4.0573555740631+v1)*(v1+((3.54238346544697*v1)+(-4.54238346544697*v1)))))),-1.0,1.0445915194835708e-24,1.0189017608154435e-15,1.0445915194835708e-24,53.0,7.47017262862452e-13,(v1*(73.3+((4.06+v1)*(v1+((3.54*v1)+(-4.54*v1))))))
