max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
1.4086085129220607e63,1.0,0,10357.0,-0.3407650904887476,true,5814.877180278402,1.9354750524099337e20,0.0,v2,7.727990954696639e23,4.824389336859346e6,1.498521194844289e61,4.824389336859346e6,2.0,1504.7025793202029,v2
6.188266439516616e50,1.0,0,731.0,-0.3045015018249694,true,2.245029401977774e-8,3.958920632243204e7,1.0,3.43989392354359e-10,0.00046309015245316054,6.245638086726144e-18,6.583268414434026e48,6.245638086726144e-18,1.0,6.742832163431651e-10,3.44e-10
6.1882950669948655e50,1.0,0,9235.0,-0.10586611353771336,true,2.245029242845181e-8,3.9589389465672985e7,1.0,3.43990983680289e-10,0.0004630627412809396,6.245637915605127e-18,6.583298869227011e48,6.245637915605127e-18,1.0,6.742846045211042e-10,3.44e-10
1.4086085129220607e63,1.0,0,10357.0,-0.3407650904887476,true,5814.877180278402,1.9354750524099337e20,0.0,v2,7.727990954696639e23,4.824389336859346e6,1.498521194844289e61,4.824389336859346e6,2.0,1504.7025793202029,v2
1.4086085129220607e63,1.0,0,10357.0,-0.3407650904887476,true,5814.877180278402,1.9354750524099337e20,0.0,v2,7.727990954696639e23,4.824389336859346e6,1.498521194844289e61,4.824389336859346e6,2.0,1504.7025793202029,v2
6.1882950669948655e50,1.0,0,9235.0,-0.10586611353771336,true,2.245029242845181e-8,3.9589389465672985e7,1.0,3.43990983680289e-10,0.0004630627412809396,6.245637915605127e-18,6.583298869227011e48,6.245637915605127e-18,1.0,6.742846045211042e-10,3.44e-10
1.4086085129220607e63,1.0,0,10357.0,-0.3407650904887476,true,5814.877180278402,1.9354750524099337e20,0.0,v2,7.727990954696639e23,4.824389336859346e6,1.498521194844289e61,4.824389336859346e6,2.0,1504.7025793202029,v2
6.188295043981638e50,1.0,0,10034.0,100.0,true,2.2450292429731055e-8,3.958938931844671e7,1.0,3.43990982401044e-10,0.000463062763315758,6.245637915742686e-18,6.58329884474483e48,6.245637915742686e-18,1.0,6.742846034051675e-10,3.44e-10
3.111882379072268e39,2.0,0,9372.0,-0.31492628637201586,true,2.279428341213037e-8,0.9999999999583277,1.0,pow3(1.20041958725302e-7),0.02534310952598373,6.400957756314483e-18,3.31051630950469e37,6.400957756314483e-18,2.0,3.977569915283881e-10,pow3(1.2e-7)
8.280864948336355e67,2.0,0,7.0,-0.34327926886536864,true,7.357151580810006e7,1.987000636855359e22,0.0,sqrt_abs(v1),3.719651441213007e31,2.3220843366690978e14,8.809438903320767e65,2.3220843366690978e14,4.0,7.402470132823384e6,sqrt_abs(v1)
6.348503985109094e61,2.0,1,53.0,-0.34327926886536864,true,36.22753699062632,2.6089908637005537e18,0.0,log(v1),1.2652266258746014e20,789.8489890015104,6.753734039175644e59,789.8489890015104,4.0,27.726099640112686,log(v1)
3.111882379072268e39,2.0,0,9372.0,-0.31492628637201586,true,2.279428341213037e-8,0.9999999999583277,1.0,pow3(1.20041958725302e-7),0.02534310952598373,6.400957756314483e-18,3.31051630950469e37,6.400957756314483e-18,2.0,3.977569915283881e-10,pow3(1.2e-7)
3.111882379072268e39,2.0,0,9372.0,-0.31492628637201586,true,2.279428341213037e-8,0.9999999999583277,1.0,pow3(1.20041958725302e-7),0.02534310952598373,6.400957756314483e-18,3.31051630950469e37,6.400957756314483e-18,2.0,3.977569915283881e-10,pow3(1.2e-7)
8.280864948336355e67,2.0,0,6.0,-0.34327926886536864,true,7.357151580810006e7,1.987000636855359e22,0.0,sqrt_abs(v1),3.719651441213007e31,2.3220843366690978e14,8.809438903320767e65,2.3220843366690978e14,4.0,7.402470132823384e6,sqrt_abs(v1)
1.1986795757100654e61,2.0,1,4.0,-0.3407650904887476,true,8.668174943538805,8.3181752691428e17,0.0,log(v2),7.370940720563961e18,46.014919043479956,1.275192257399947e59,46.014919043479956,4.0,6.677021552561798,log(v2)
