max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
4.481404160296225e-15,6.0,0,11.0,-1.0,true,6.217248937900877e-14,3.116544321427425e-15,2.0,(15.65+(-0.905069700286371*log(v1))),-1.0,1.1088957063083668e-27,2.394628829762594e-15,1.1088957063083668e-27,6.0,3.0676316188104327e-14,(15.6+(-0.905*log(v1)))
4.5921016901800154e-14,6.0,0,7.0,-1.0,true,7.052136652418994e-13,3.467973354816555e-14,2.0,(-0.905069700286616*(log(v1)-17.2914859430657)),-1.0,1.2997296547064628e-25,2.362755904205391e-14,1.2997296547064628e-25,6.0,3.0717309038244333e-13,(-0.905*(log(v1)-17.3))
8.085045915471396e-15,6.0,0,8.0,-1.0,true,1.2434497875801753e-13,3.991656594453763e-15,2.0,(15.6499999999999+(log(v1)/-1.10488728070734)),-1.0,2.5383116665688402e-27,3.1541067640622385e-15,2.5383116665688402e-27,6.0,4.160774289210587e-14,(15.6+(log(v1)/-1.1))
6.6990380442477285e-15,6.0,0,8.0,-1.0,true,1.0302869668521453e-13,3.584957327965273e-15,2.0,(15.6499999999999+(-0.905069700286359*log(v1))),-1.0,1.8308854794098746e-27,2.793224970781488e-15,1.8308854794098746e-27,6.0,3.634699379080512e-14,(15.6+(-0.905*log(v1)))
1.7146072373596127e-12,6.0,0,1.0,-1.0,true,2.6370017280896718e-11,1.3838854288948048e-12,2.0,((-17.291485942922+log(v1))/-1.10488728069583),-1.0,1.9742423475936482e-22,9.198738782846975e-13,1.9742423475936482e-22,6.0,1.199075027303619e-11,((-17.3+log(v1))/-1.1)
4.888804538504973e-15,6.0,0,17.0,-1.0,true,7.283063041541027e-14,3.1559694084950364e-15,2.0,(15.65+(log(v1)/-1.10488728070733)),-1.0,1.2641192598126245e-27,2.4969995904207944e-15,1.2641192598126245e-27,6.0,3.211106594300453e-14,(15.6+(log(v1)/-1.1))
1.3677984695816132e-14,6.0,0,0.0,-1.0,true,1.9895196601282805e-13,9.583617166345023e-15,2.0,(-0.905069700286434*(-17.2914859430686+log(v1))),-1.0,8.734874758687982e-27,6.259638126735735e-15,8.734874758687982e-27,6.0,8.08242361927114e-14,(-0.905*(-17.3+log(v1)))
6.760383240460847e-15,6.0,0,8.0,-1.0,true,9.414691248821327e-14,3.609840255715589e-15,2.0,(15.65+(log(v1)/-1.1048872807073)),-1.0,1.7486012188345137e-27,2.7138888194580185e-15,1.7486012188345137e-27,6.0,3.4980565452804934e-14,(15.7+(log(v1)/-1.1))
1.4149639340499447e-14,6.0,0,0.0,-1.0,true,2.0605739337042905e-13,1.003339599271232e-14,2.0,(-0.905069700286437*(-17.2914859430685+log(v1))),-1.0,9.507108903291259e-27,6.544445992369512e-15,9.507108903291259e-27,6.0,8.444527128841191e-14,(-0.905*(-17.3+log(v1)))
5.1882010915164636e-15,7.0,0,3.0,-1.0,true,6.572520305780927e-14,2.9093593933205275e-15,2.0,(15.65+(-1.81013940057277*log(sqrt_abs(v1)))),-1.0,1.1387510574905774e-27,2.290556120771366e-15,1.1387510574905774e-27,18.0,2.944653068390415e-14,(15.7+(-1.81*log(sqrt_abs(v1))))
7.16104066798895e-15,7.0,0,6.0,-1.0,true,1.1013412404281553e-13,3.7552137863778945e-15,2.0,(15.6499999999999+(log(sqrt_abs(v1))/-0.552443640353671)),-1.0,2.073247822137007e-27,2.9316260033387045e-15,2.073247822137007e-27,18.0,3.8328314880905404e-14,(15.6+(log(sqrt_abs(v1))/-0.552))
