max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
0.769599253972468,1.0,0,8466.0,-1.0,true,31.46175895905491,0.5653544623687768,0.0,v1,-0.23207596005128772,103.97669332875144,0.36110504409031774,103.97669332875144,2.0,4.565745478711937,v1
0.2928932188134529,3.0,0,8884.0,-1.0,true,11.973680852061008,0.29289321881345276,0.0,pow3(sqrt_abs(v1)),-0.8843021446925885,15.665456209570447,0.29289321881345254,15.665456209570447,16.0,2.0124605137166323,pow3(sqrt_abs(v1))
7.53427700464736e-16,5.0,0,8885.0,-1.0,true,2.6645352591003757e-15,4.3888347930036435e-16,1.0,sqrt_abs(pow3((1.25992104989487*v1))),-1.0,1.21040845144849e-30,2.9744051487364984e-16,1.21040845144849e-30,256.0,7.105427357601002e-16,sqrt_abs(pow3((1.26*v1)))
8.192929068308079e-16,7.0,0,7450.0,-1.0,true,8.881784197001252e-16,4.481983934054282e-16,2.0,(0.977267421224823*pow3(sqrt_abs((v1/0.781625912770866)))),-1.0,2.4405384255275054e-31,2.5436772771794e-16,2.4405384255275054e-31,257.0,3.552713678800501e-16,(0.977*pow3(sqrt_abs((v1/0.782))))
6.144696801231059e-16,9.0,0,5311.0,-1.0,true,8.881784197001252e-16,1.8519233072244464e-16,2.0,sqrt_abs(pow3((((v1/0.761821731719667)-v1)/-0.248144951687523))),-1.0,1.0107280348144213e-31,1.3936448562399893e-16,1.0107280348144213e-31,1.8446744073709552e19,1.7763568394002506e-16,sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))
4.0964645341540396e-16,11.0,0,4445.0,-1.0,true,8.881784197001252e-16,1.8519233072244464e-16,3.0,(7.81383069522429e-17+sqrt_abs(pow3((((v1/0.761821731719667)-v1)/-0.248144951687523)))),-1.0,9.521797645050494e-32,1.3445953730973686e-16,9.521797645050494e-32,1.8446744073709552e19,1.7208456881689927e-16,(7.81e-17+sqrt_abs(pow3((((v1/0.762)-v1)/-0.248))))
1.0241161335385098e-15,13.0,0,4001.0,-1.0,true,5.551115123125783e-16,2.9879892893695214e-16,4.0,(5.4185180582214195e-16+sqrt_abs(pow3(((((-6.600877851837031e-17+v1)/0.761616920836716)-v1)/-0.248425120478871)))),-1.0,4.344897954537604e-32,1.983183414280601e-16,4.344897954537604e-32,3.402823669209385e38,1.1657341758564144e-16,(5.42e-16+sqrt_abs(pow3(((((-6.6e-17+v1)/0.762)-v1)/-0.248))))
6.144696801231059e-16,16.0,0,78.0,-1.0,true,3.3306690738754696e-16,1.802714944515548e-16,4.0,(sqrt_abs(pow3((((v1/0.761821731719667)-v1)/-0.248144951687523)))+(-1.3944499894172302e-17/log((0.434462224805903*v1)))),-1.0,2.2186712959340958e-32,1.2179463086987626e-16,2.2186712959340958e-32,1.8446744073709552e19,8.881784197001253e-17,(sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))+(-1.39e-17/log((0.434*v1))))
4.0964645341540396e-16,20.0,0,1397.0,-1.0,true,2.220446049250313e-16,1.802714944515548e-16,4.0,(sqrt_abs(pow3((((v1/0.761821731719667)-v1)/-0.248144951687523)))+(1.11497168983081e-17/(v1*(sqrt_abs(v1)-(0.656831444363203*v1))))),-1.0,1.633188592840376e-32,1.1424338735993776e-16,1.633188592840376e-32,1.8446744073709552e19,8.326672684688674e-17,(sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))+(1.11e-17/(v1*(sqrt_abs(v1)-(0.657*v1)))))
3.1203040491533436e-16,24.0,0,1081.0,-1.0,true,2.220446049250313e-16,1.7359539173921726e-16,5.0,(sqrt_abs(pow3((((v1/0.761616920836716)-v1)/-0.248425120478871)))+(1.16972878421808e-17/((v1*(v1-0.945150861957155))*(sqrt_abs(v1)-(0.65682968260886*v1))))),-1.0,1.509929076399593e-32,8.888026226416408e-17,1.509929076399593e-32,1.8446744073709552e19,7.216449660063518e-17,(sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))+(1.17e-17/((v1*(v1-0.945))*(sqrt_abs(v1)-(0.657*v1)))))
3.1203040491533436e-16,25.0,0,186.0,-1.0,true,2.220446049250313e-16,1.736557564623637e-16,5.0,(sqrt_abs(pow3((((v1/0.761616920836716)-v1)/-0.248425120478871)))+(-1.1482231392953701e-17/((sqrt_abs(v1)*(0.945149964238028-v1))*(sqrt_abs(v1)-(0.656828733955294*v1))))),-1.0,1.232595164407831e-32,8.885611637490551e-17,1.232595164407831e-32,1.8446744073709552e19,6.661338147750939e-17,(sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))+(-1.15e-17/((sqrt_abs(v1)*(0.945-v1))*(sqrt_abs(v1)-(0.657*v1)))))
2.591045010018055e-16,29.0,0,1207.0,-1.0,true,2.220446049250313e-16,1.4933909974532966e-16,6.0,(sqrt_abs(pow3((((v1/0.761616920836716)-v1)/-0.248425120478871)))+(-5.37261365683481e-18/((v1*(sqrt_abs(v1)-(0.0745532921648098+(0.956765578426202*v1))))*(sqrt_abs(v1)-(0.656829668752897*v1))))),-1.0,7.703719777548943e-33,7.492537217754917e-17,7.703719777548943e-33,1.8446744073709552e19,4.9960036108132046e-17,(sqrt_abs(pow3((((v1/0.762)-v1)/-0.248)))+(-5.37e-18/((v1*(sqrt_abs(v1)-(0.0746+(0.957*v1))))*(sqrt_abs(v1)-(0.657*v1)))))
