max_are,compl,dim_penalty,age,minus_spearman,valid,max_ae,q75_are,n_params,eqs_orig,minus_r2,mse,mare,ms_processed_e,recursive_compl,mae,eqs_orig_rounded
4.4485423588734125e14,1.0,0,8422.0,-0.4325468462415931,true,4.485326448748518e27,1.1001024381661537e11,1.0,2.57552704901532e26,0.003520968114826273,7.343548525906917e53,2.3470493836058625e13,7.343548525906917e53,1.0,3.9329464612505205e26,2.5799999999999998e26
3.140911397078598e13,4.0,0,8424.0,-0.6533926585094549,true,3.634353890414597e27,2.0171660564431206e10,1.0,(4.22933223068977e31/sqrt_abs(v1)),-0.13987174144120873,6.2942318156998915e53,2.11330640583106e12,6.2942318156998915e53,5.0,4.002628511848736e26,(4.23e31/sqrt_abs(v1))
2.3795051735725706e6,5.0,0,8427.0,-0.9092324805339266,true,2.105403081618158e27,37579.134523710054,1.0,(5.41788154889098e7*(v3/v1)),-0.706648071124363,2.146685712918894e53,144335.62660202896,2.146685712918894e53,6.0,1.5259550595504028e26,(5.42e7*(v3/v1))
2167.162050378659,6.0,0,8404.0,-0.8914349276974416,true,6.81194896652999e26,0.999848635644127,1.0,(v3/(pow3(v1)/1.55606717992952e26)),-0.9678452690749665,2.3530133837566693e52,102.08228147046626,2.3530133837566693e52,11.0,4.696084647533744e25,(v3/(pow3(v1)/1.56e26))
0.9997312440242023,8.0,0,8406.0,-0.9870967741935484,true,6.788588593254006e26,0.9984927123723873,1.0,(v3/(pow3((v1/0.459510035088541))/v2)),-0.9788379544509788,1.5485925390141758e52,0.8277965456929878,1.5485925390141758e52,35.0,2.640450645131164e25,(v3/(pow3((v1/0.46))/v2))
4.5038336503265464e-15,9.0,0,8405.0,-1.0,true,6.18475290624e11,1.6631770247267805e-15,1.0,(6.67408000000001e-11*(((v2*v3)/v1)/v1)),-1.0,2.115700344927771e22,1.374626344902542e-15,2.115700344927771e22,24.0,4.311684438672817e10,(6.67e-11*(((v2*v3)/v1)/v1))
4.702853743160562e-9,11.0,0,8325.0,-1.0,true,6.18475290624e11,1.0885943949337736e-11,2.0,(6.67408000000001e-11*((-2.16339858897219e26+((v2*v3)/v1))/v1)),-1.0,2.1157003397621118e22,4.476608544748947e-10,2.1157003397621118e22,26.0,4.311608235727745e10,(6.67e-11*((-2.16e26+((v2*v3)/v1))/v1))
4.5038336503265464e-15,12.0,0,1084.0,-1.0,true,6.18475290624e11,1.632404497268284e-15,1.0,(6.67408000000001e-11*(((v2*(v1*v3))/pow2(v1))/v1)),-1.0,2.0521782106767135e22,1.3584128775986962e-15,2.0521782106767135e22,92.0,3.849954592111541e10,(6.67e-11*(((v2*(v1*v3))/pow2(v1))/v1))
4.5038336503265464e-15,13.0,0,8396.0,-1.0,true,6.18475290624e11,1.6631770247267805e-15,1.0,(6.67408000000001e-11*((((v3/v1)/v1)*(v1*v2))/v1)),-1.0,1.848141850635315e22,1.3455258572073621e-15,1.848141850635315e22,114.0,3.6280618779769844e10,(6.67e-11*((((v3/v1)/v1)*(v1*v2))/v1))
7.54299590771504e-9,15.0,0,7889.0,-1.0,true,6.18475290624e11,9.60836753819112e-14,2.0,(6.67408000000001e-11*(((v2*(v3/v1))+(v2*(-1.77784942847801e-27*v2)))/v1)),-1.0,1.3675289148115837e22,2.516092551211651e-10,1.3675289148115837e22,38.0,3.1023627601766094e10,(6.67e-11*(((v2*(v3/v1))+(v2*(-1.78e-27*v2)))/v1))
3.5655349731751826e-15,16.0,0,8200.0,-1.0,true,4.12316860416e11,1.1164708447070364e-15,2.0,((v1+(v3*(2.24295308723036e-26/v1)))/((pow3(v1)/6.674079999999999e-11)/(v3*v2))),-1.0,8.378588136416706e21,9.049376702576827e-16,8.378588136416706e21,235.0,2.6703932560618748e10,((v1+(v3*(2.24e-26/v1)))/((pow3(v1)/6.67e-11)/(v3*v2)))
2.976665609905548e-8,17.0,1,4309.0,-1.0,true,4.12316860416e11,7.48030828821608e-11,2.0,(6.67408000000001e-11*((((v2*v3)/v1)+(v2*log(pow3((0.278814714800636/v3)))))/v1)),-1.0,6.58236480694744e21,1.9704467760853476e-9,6.58236480694744e21,1050.0,2.504015210400887e10,(6.67e-11*((((v2*v3)/v1)+(v2*log(pow3((0.279/v3)))))/v1))
2.988663678368772e-8,19.0,0,7082.0,-1.0,true,4.12316860416e11,7.50763757198387e-11,3.0,(6.67408000000001e-11*(((v2*(v3/v1))+(v2*(0.837520657476937+log((0.00494209408715401/pow3(v3))))))/v1)),-1.0,6.582515447531837e21,1.9783987313401964e-9,6.582515447531837e21,158.0,2.5013821269550274e10,(6.67e-11*(((v2*(v3/v1))+(v2*(0.838+log((0.00494/pow3(v3))))))/v1))
2.97661376331527e-8,19.0,1,4117.0,-1.0,true,4.12316860416e11,7.480095058391703e-11,3.0,(6.67408000000001e-11*((((v2*(1.49833385275573e10+v3))/v1)+(v2*log(pow3((0.278814714800636/v3)))))/v1)),-1.0,6.569626806293549e21,1.970307630181912e-9,6.569626806293549e21,1058.0,2.4888023639185673e10,(6.67e-11*((((v2*(1.5e10+v3))/v1)+(v2*log(pow3((0.279/v3)))))/v1))
3.0043445204109575e-8,20.0,1,408.0,-1.0,true,4.12316860416e11,7.543355459078789e-11,2.0,(6.67408000000001e-11*((((v2*(v1*v3))/pow2(v1))+(v2*log((0.00494209408715401/pow3(v3)))))/v1)),-1.0,5.951694659326791e21,1.9887914886335567e-9,5.951694659326791e21,222.0,2.0409127747870102e10,(6.67e-11*((((v2*(v1*v3))/pow2(v1))+(v2*log((0.00494/pow3(v3)))))/v1))
2.974222642427247e-8,21.0,0,7258.0,-1.0,true,4.12316860416e11,7.474743623280539e-11,4.0,(6.67408000000001e-11*((((v2*v3)/v1)+(v2*(0.837520657476937+log((0.00494209408715401/pow3((0.773290266577076*v3)))))))/v1)),-1.0,6.582234214136192e21,1.9688276617048606e-9,6.582234214136192e21,2078.0,2.5038242763577744e10,(6.67e-11*((((v2*v3)/v1)+(v2*(0.838+log((0.00494/pow3((0.773*v3)))))))/v1))
2.9750818325670703e-8,22.0,0,150.0,-1.0,true,4.12316860416e11,7.476699054603304e-11,3.0,(6.67408000000001e-11*((((v2*(v1*v3))/pow2(v1))+(v2*(0.883483604629669+log(pow3((0.213630930021127/v3))))))/v1)),-1.0,5.948299237009224e21,1.969397095609745e-9,5.948299237009224e21,1122.0,2.0350621134981102e10,(6.67e-11*((((v2*(v1*v3))/pow2(v1))+(v2*(0.883+log(pow3((0.214/v3))))))/v1))
2.9741174100839865e-8,23.0,1,3388.0,-1.0,true,4.12316860416e11,7.474405571403193e-11,3.0,(6.67408000000001e-11*(((((v2*(v1*(1.49833385275573e10+v3)))/v1)/v1)+(v2*log(pow3((0.29148568016399/v3)))))/v1)),-1.0,5.9398528878209e21,1.968653140778073e-9,5.9398528878209e21,1154.0,2.0304893778508484e10,(6.67e-11*(((((v2*(v1*(1.5e10+v3)))/v1)/v1)+(v2*log(pow3((0.291/v3)))))/v1))
